Comentário;Sentimento
Atendimento excelente;Positivo
tempo de espera;Negativo
Achei o tempo de resposta muito demorado.;Negativo
Apos 14 dias da reclamação, tendo pago 2 boletis no mesmo mês para ter acesso a minha página, houve recebo uma resposta inadequada.;Negativo
O atendimento tá ótimo, a plataforma não;Positivo
Atendente com respostas prontas e que não tem o conhecimento da sua própria plataforma.;Negativo
Foi muito bom o atendimento, a atendente teve muita paciência comigo.;Positivo
Respostas rápidas e disposição para resolver a situação em tempo real;Positivo
Fui atendido com eficácia e rapidez;Positivo
Nada a comentar.;Neutro
Psem.muito rápido os atendimentos;Positivo
É a primeira vez que eu uso este portal e fui prontamente atendida em minha a dúvida. Parabéns a equipe.;Positivo
Atendimento rápido e prestativo;Positivo
Facilitar a gestão de pagamento, porque todo mês é a mesma questão;Negativo
Facilitar a gestão de pagamento, porque todo mês é a mesma questão;Negativo
Gostaria que os atendentes entrassem em contato mais rapidamente. Afinal, estamos trabalhando, todos!!!;Negativo
Não recebo um lead bom a meses, estou sem vender desde o ano passado, atrasei o pagamento e vcs já me bloquearam os anúncios. S3m falar que estou esperando a dois dias um atendente entrar em contato comigo... sigo sem anúncios... vcs deviam ter mais respeito com o trabalho dos seus clientes;Negativo
Excelente atendimento!;Positivo
Não consigo alterar a senha para entrar no canal pro e baixar o boleto, não tive retorno da nova senha;Negativo
Continuem com esse bom atendimento;Positivo
Ajustar o tempo de retorno;Negativo
Hoje eu contratei um anúncio de aluguel e enviaram 2 faturas para o meu e-mail ! Fiquei preocupada! Será que cobraram em dobro? Meu telefone é (21) 999157747;Negativo
gosto do atendimento humano maquina;Positivo
Kkk mais pacotes com preços mais acessíveis.?;Negativo
Olá;Neutro
gostaria que analizassem os valeres deanuncios super caros ,sendo que nem aparecem muito , tenho que reclamar sempre sobre isso;Negativo
Joia;Positivo
Sofro muito por não ter uma pessoa para auxiliar, agora mesmo estou com meus anúncios que foram excluídos, sendo replicado, essa moça que me atendeu agora, me ajudou muito, foi paciente e esclarecedora....nota 10;Positivo
Ficaria muito demorado mostrar pq tenho vários anúncios;Negativo
Muito complicado de interagir.;Negativo
Estou tentando cancelar meu plano e não consigo. Não há telefone, não respondem os e-mails.;Negativo
bom;Positivo
"Preciso urgente de contato telefônico.
Ñ consigo resolver minhas dúvidas e pendências por WhatsApp.
Urgente!!!
Estou pedindo isso há 1 mês!!!";Negativo
Vcs pioram muito no atendimento, fiz uma solicitação vai email, somente depois de 03 semanas tive retorno, mesmo assim atraves de quem me atende, pelo email que enviei nem retorno tive, nota 0 para vcs.;Negativo
Aguardando contato financeiro.;Neutro
Bom atendimento;Positivo
ótimo atendimento.;Positivo
Disse que amanhã está resolvido.;Neutro
Atendimento rápido e eficaz, manter o suporte aos colaboradores para que eles consigam manter o padrão de excelência, e sempre valorizar os funcionários.;Positivo
"O atendente me passou informações incorretas ou inverídicas.
Como usuário apresentei print da própria plataforma evidenciando que o retorno estava incorreto.

O atendente mudou sua versão mas ainda tentou deturpar o que tinha falado e não buscou a solução em nenhum momento.

A partir dai o atendimento se tornou uma busca do atendente em tentar ""desdizer"" sua falha.";Negativo
Foi rápido, gostei;Positivo
Aguardando contato do financeiro;Neutro
Neste atendimento em especial não tenho nada a dizer;Neutro
"O problema no qual entrei em contato ainda não foi resolvido , mais o atendimento foi perfeito 
Parabéns";Positivo
Pena portal não funciona bem. Muito ruim trabalhar c ele;Negativo
Ok;Neutro
"Tempo de espera absurdamente longo.
Informações desencontradas
Longa espera entre uma pergunta e resposta. 
Não voltarei a anunciar com vocês.
Comecei este atendimento pela manhã e acabou agora no meio da tarde.
Absurdo a falta de agilidade. 
Não tenho esse tempo a perder.";Negativo
"Nada para melhorar. Para mim está ótimo.
Atendimento rápido, atendente preparada, muito atenciosa.. nota 10";Positivo
Acho que como me mandaram procurá-los pelo WhatsApp, poderiam resolver minha dúvida por aqui.;Negativo
Eficiente;Positivo
Há demora no atendimento ?;Neutro
Sempre sou bem atendida, rapidamente e tudo solucionado;Positivo
Muito tempo esperando para atendimento no wapp;Negativo
O indicador de qualidade precisa ter um índice para avaliar a resposta da imobiliária a LEAD.;Neutro
"Estou para receber o estorno desde o início do mês de abril referente ao desconto no meu cartão de crédito erroneamente. 
Hoje completo 48h de mais uma espera.
Esse estorno referente ao cartão e ao cancelamento SEM minha autorização da segunda reativação, erro do funcionário, não cair hoje em minha conta aguardem uma ação judicial que darei entrada e ainda no sinte Reclame Aqui.";Negativo
"Só melhorar o tempo pra responder o primeiro contato 
De reto tá ok";Neutro
No momento não tenho nada pra acrescentar, mas obrigada por perguntar.;Neutro
Obrigado;Positivo
"Foi um ótimo e rápido atendimento 
O";Positivo
Atendente me auxiliou bastante me enviando um super material de pdf sobre a divulgação do imóvel;Positivo
Tenho percebido que nos últimos tempos vcs estão mais preocupados em adquirir mais formas de fazer-nos gastar mais e os leads tem diminuido drasticamente. É importante observar clientes que permanecem e não ficar oferecendo um plano em cima do próprio plano pra gastarmos mais sem grandes retornos.;Neutro
Tudo certo no atendimento;Positivo
Continue assim... Pratico e rápido gostei deste pronto atendimento via whatsapp é a melhor maneira de se tratar;Positivo
Não consigo adicionar fotos no meu anúncio! Uma coisa simples que parece uma odisseia no ZAP!;Negativo
pelo whatsapp muito melhor que pelo chat;Positivo
Tudo perfeito;Positivo
Top;Positivo
Muito bom o atendimento;Positivo
No robô deveria já ter a opção de pix.;Neutro
Gostei da agilidade!;Positivo
pessimo atendimento;Negativo
"Insatisfeito Totalmente. 
Eu fiz cancelamento total e não desejo negociar e nem mesmo rever plano.
Quero o cancelamento.";Negativo
Excelente atendimento do comercial Expedito!;Positivo
Fui bem atendido pelo Gabriel;Positivo
O atendente Pedro foi objetivo e eficiente!! Sem procrastinar!! Parabéns!;Positivo
Atendimento rápido e preciso. Agradeço muito.;Positivo
Fui muito bem atendida e conseguiram esclarecer todas as dúvidas, se fosse dizer algo, é que continuem com o atendimento rápido e eficiente. Obrigada pelo atendimento!;Positivo
Simplesmente um canal de comunicação que funcione.;Neutro
"O problema foi resolvido rapidamente.
Obrigada!";Positivo
Muita demora no contato do consultor comercial. Se fosse para aumentar o plano, já teriam entrado em contato!;Negativo
Obrigado pelo atendimento!;Positivo
Mais cumplicidade.;Neutro
Pessimo, nenhum anunciante entra em contato comigo, parece que estou pedindo favor pra voces e ninguem tem interesse em ganhar dinheiro;Negativo
O atendimento foi ótimo. Porém, ainda vou ter que aguardar um prazo para resolver o problema. De qualquer forma, muito obrigado.;Positivo
"Sempre que conseguirmos obter respostas esclarecedoras, sentimos uma segurança em prosseguir no atendimento.
O atendente poderia participar com um pouco do se atendimento usual, com respostas próprias. É uma sugestão";Neutro
Para entrar em contato com vocês é quase impossível. Primeiro o meu anuncio custou para entrar, e depois como desisti da venda e cancelei, tb levaram um tempão para responder. Bem complicado. Comunicação péssima.;Negativo
Foi rápido e prático!;Positivo
Vou enviar e-mail p a OLX;Neutro
Foi Bem Rapido a minha solicitação Grato;Positivo
As informações foram bem didáticas?????;Neutro
Obg;Neutro
Não estamos tendo leads satisfatório para realizar novos negócios através da ferramenta.;Negativo
Ja paguei tem dois dias e meus anúncios ainda não estão liberados !! Decepcionado com a falta de profissionalismo por parte de vcs !!;Negativo
1 bom;Neutro
Ótimo atendimento;Positivo
Acredito que a forma tradicional de atendimento telefônico faz falta em ocasiões como essa. Veja quanto tempo demorou para a finalização desse atendimento desde a data inicial.;Negativo
Muito obrigada pela atenção e a rapidez;Positivo
Muito atencioso;Positivo
Atendente excelente;Positivo
informar planos promocionais através do WhatsApp.;Neutro
Muito atencioso;Positivo
Atendente muito atenciosa!;Positivo
o atendimento foi ótimo, com tranquilidade e proatividade;Positivo
Atendimento rapido e agil.;Positivo
Falta de informações , clareza, a respeito dos planos no site;Negativo
Gostei muito da atenção e da rapidez do atendimento! :);Positivo
Gostaria de maior agilidade pois o sistema não resolve no dia;Neutro
Quero agradecer atenção da consultora Carolina que me atendeu com excelência e já consegui entrar na minha conta pra poder fazer os meus anúncios;Positivo
Prestativa.;Positivo
Só que tem que ser mais rápida;Neutro
"ATENDENTE THIAGO FOI EXCELENTE, TEVE PACIENCIA, FICOU ATÉ O FIM PARA ME AJUDAR RESOLVER.

NOTA 100 PARA VOCÊ THIAGO, OBRIGADA.";Positivo
O fato de o atendimento ser só eletrônico, além de demorar muito, não resolve as questões com clareza e objetividade.;Negativo
Atendimento ágil, com informações precisas e claras.;Positivo
2 via;Neutro
Atendimento rápido e eficaz;Positivo
Equipe gentil e atenciosa.;Positivo
So acho q deveria ter um canal telefônico tb!;Positivo
É necessário mais agilidade nas soluções das solicitações.;Negativo
Só aguardar entrar as fotos;Neutro
"Me atendeu prontamente e resolveu o problema 
Parabéns nota 10";Positivo
A plataforma tem vários defeitos mas no geral, entrega o que promete!;Neutro
Aguardando a resolução;Neutro
O atendimento demorou muito!;Negativo
Recebi a orientação necessária.;Positivo
Aguardando o estorno no cartão!;Neutro
Fui bem atendido obrigado;Positivo
amigo eu posso anunciar um veiculo or aqui;Neutro
os atendimentos em geral, principalmente qdo é para solucionar problemas qdo não são relacionados ao financeiro, deveriam serem resolvidos rapido. PQ o retorno para outros assuntos nao tem prioridades qto qdo é relacionado a pagamento;Negativo
Foi ótimo.;Positivo
Mais rapidez para atender o usuário !!;Positivo
Receber vídeos e audios do whatzap.;Positivo
muito bom;Positivo
Obrigado;Neutro
O atendimento estar demorando muito. Para resolver o problema. Mais já estar sendo resolvido.;Neutro
Sem eu entender o que esta acontecendo, o Zap bloqueou meu anuncio de forma sumária. Isto não é um comportamento profissional;Negativo
Atendimento rápido;Positivo
Procuro não precisar de vocês, porque sei que quando preciso é tempo perdido. Nunca consigo uma resposta clara e eficaz em tempo real do problema;Negativo
Dificuldade em acessar clientes.. não abre a lista de clientes..;Negativo
Atendimento foi rápido;Positivo
Tudo certo;Positivo
Não quero todos os meus imóveis no OLX, apenas alguns, mas para zerar lá, têm que zerar no ZAP e no VivaReal e aguardar 24hs;Neutro
Paulo entendeu minha dúvida é prontamente solucionou;Positivo
Precisa ser mais célere, demora muito tempo para atender;Negativo
Todos meus atendimentos foram feitos por consultores diferentes. Não sei se isso é bom.;Positivo
NÃO CONSIGO PUBLICAR MEU ANÚNCIO, SITE APENAS INFORMA QUE OCORREU UM ERRO.;Negativo
É bom e ágil o atendimento. Obrigada;Positivo
O atendimento foi excelente, muito solícito e gentil, esclarecendo minhad dúvidas, mas a solução, Como das outras vezes em que precisei ser atendido, fica para posteriori, Ou seja prometem verificar somente após 48 horas, o que nos gera uma insatisfação, pois não temos nosso problema resolvido, e gostaríamos de solucionar as questões mais rápido possível;Positivo
Parabéns pelo atendimento;Positivo
A ligação caiu;Neutro
retiraram todos os meus anúncios por alguns dias de atraso;Negativo
